2020-04-21 07:09:47: "Profile directory: /home/rich/.config/joplin-desktop"
2020-04-21 07:09:48: "First start: detected locale as en_US"
2020-04-21 07:09:48: "Trying to load 0 master keys..."
2020-04-21 07:09:48: "Loaded master keys: 0"
2020-04-21 07:09:48: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:09:48: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:09:48: "Running migration: 20"
2020-04-21 07:09:48: "Running migration: 27"
2020-04-21 07:09:48: "Trying to load 0 master keys..."
2020-04-21 07:09:48: "Loaded master keys: 0"
2020-04-21 07:09:48: "Scheduling sync operation...", "10000"
2020-04-21 07:09:48: "Trying to load 0 master keys..."
2020-04-21 07:09:48: "Loaded master keys: 0"
2020-04-21 07:09:48: "Scheduling sync operation...", "10000"
2020-04-21 07:09:48: "Trying to load 0 master keys..."
2020-04-21 07:09:48: "Loaded master keys: 0"
2020-04-21 07:09:48: "Scheduling sync operation...", "10000"
2020-04-21 07:09:48: "Scheduling sync operation...", "10000"
2020-04-21 07:09:48: "RevisionService::runInBackground: Starting background service with revision collection interval 600000"
2020-04-21 07:09:48: "Scheduling sync operation...", "30000"
2020-04-21 07:09:48: "Scheduling sync operation...", "30000"
2020-04-21 07:09:48: "Scheduling sync operation...", "30000"
2020-04-21 07:09:49: "Scheduling sync operation...", "30000"
2020-04-21 07:09:49: "Scheduling sync operation...", "30000"
2020-04-21 07:09:49: "Scheduling sync operation...", "30000"
2020-04-21 07:09:49: "DecryptionWorker: cannot start because no master key is currently loaded."
2020-04-21 07:09:51: "Saving updated Dropbox auth."
2020-04-21 07:09:52: "RevisionService::maintenance: Starting..."
2020-04-21 07:09:52: "RevisionService::maintenance: Service is enabled"
2020-04-21 07:09:52: "RevisionService::collectRevisions: Created revisions for 0 notes"
2020-04-21 07:09:52: "RevisionService::maintenance: Done in 135ms"
2020-04-21 07:09:58: "SearchEngine: Updating FTS table..."
2020-04-21 07:10:17: "Saving updated Dropbox auth."
2020-04-21 07:10:19: "Scheduling sync operation...", "10000"
2020-04-21 07:10:19: "ResourceService::indexNoteResources: Start"
2020-04-21 07:10:20: "ResourceService::indexNoteResources: Completed"
2020-04-21 07:10:20: "ResourceService::deleteOrphanResources:", "[]"
2020-04-21 07:10:24: "Scheduling sync operation...", "0"
2020-04-21 07:10:24: "Preparing scheduled sync"
2020-04-21 07:10:24: "Starting scheduled sync"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:54: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:54: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:55: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:55: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:55: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:55: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:55: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:55: "ResourceFetcher: Auto-added resources: 2"
2020-04-21 07:10:55: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:56: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:56: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:56: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 0"
2020-04-21 07:10:57: "ResourceFetcher: Auto-add resources: Mode: always"
2020-04-21 07:10:57: "ResourceFetcher: Auto-added resources: 1"
2020-04-21 07:10:58: "ResourceFetcher: Auto-add resources: Mode: always"
